Tiempo,Euler,RK4,RESOLUCION ANALITICA
,,,
0,20,20,20
0.466666667,27.18673117,27.1455698,27.1455698
0.933333333,34.29082377,34.20944494,34.20944494
1.4,41.31322804,41.19255941,41.19255941
1.866666667,48.25488331,48.09583655,48.09583656
2.333333333,55.11671807,54.92018914,54.92018914
2.8,61.89965018,61.6665195,61.66651951
3.266666667,68.60458692,68.33571967,68.33571967
3.733333333,75.23242512,74.92867145,74.92867146
4.2,81.78405135,81.44624661,81.44624662
4.666666667,88.26034193,87.8893069,87.88930691
5.133333333,94.66216313,94.25870425,94.25870426
5.6,100.9903713,100.5552808,100.5552809
6.066666667,107.2458128,106.7798692,106.7798692
6.533333333,113.4293244,112.9332925,112.9332925
7,119.5417333,119.0163641,119.0163642
7.466666667,125.583857,125.0298886,125.0298886
7.933333333,131.5565037,130.974661,130.974661
8.4,137.4604723,136.8514673,136.8514673
8.866666667,143.2965525,142.6610846,142.6610846
9.333333333,149.065525,148.404281,148.404281
9.8,154.7681614,154.081816,154.081816
10.26666667,160.4052245,159.6944403,159.6944403
10.73333333,165.9774683,165.2428959,165.2428959
11.2,171.4856382,170.7279165,170.7279165
11.66666667,176.9304708,176.1502273,176.1502273
12.13333333,182.3126946,181.5105453,181.5105454
12.6,187.6330295,186.8095793,186.8095794
13.06666667,192.892187,192.04803,192.04803
13.53333333,198.0908707,197.2265898,197.2265899
14,203.2297759,202.3459437,202.3459437
14.46666667,208.3095901,207.4067684,207.4067684
14.93333333,213.3309926,212.4097332,212.4097332
15.4,218.2946552,217.3554995,217.3554995
15.86666667,223.2012417,222.2447213,222.2447213
16.33333333,228.0514086,227.0780451,227.0780451
16.8,232.8458045,231.8561099,231.8561099
17.26666667,237.5850707,236.5795475,236.5795475
17.73333333,242.2698413,241.2489825,241.2489825
18.2,246.9007427,245.8650322,245.8650322
18.66666667,251.4783944,250.428307,250.428307
19.13333333,256.0034088,254.9394103,254.9394104
19.6,260.4763911,259.3989386,259.3989386
20.06666667,264.8979396,263.8074815,263.8074815
20.53333333,269.2686457,268.1656219,268.1656219
21,273.5890941,272.473936,272.4739361
21.46666667,277.8598626,276.7329936,276.7329937
21.93333333,282.0815225,280.9433578,280.9433578
22.4,286.2546386,285.1055852,285.1055853
22.86666667,290.379769,289.2202263,289.2202263
23.33333333,294.4574654,293.287825,293.2878251
